"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Channel NewsAsia"	"Doctors raise alarm over Trump’s push to scale back US childhood vaccinations"	"The Trump administration says its overhaul of childhood vaccine recommendations will provide “gold-standard” protection, but doctors warn the changes could increase the risk of preventable diseases."	"Biotechnology"	"2026-08-17"	"https://www.channelnewsasia.com/world/doctors-raise-alarm-trump-push-us-childhood-vaccinations-6323361"
"2"	"DigiTimes"	"LG-Nvidia physical AI partnership speeds up as robotics chief reportedly heads to South Korea"	"Less than a week after LG Group and Nvidia signed a strategic memorandum of understanding (MOU), Madison Huang, Nvidia's senior director of product marketing for Omniverse and robotics, is reportedly preparing to visit South Korea and head directly to one of LG's key robotics R&D sites."	"AI, Automation"	"2026-08-17"	"https://www.digitimes.com/news/a20260817PD220/lg-robotics-partnership-robot-development.html"
"3"	"DigiTimes"	"China's Vertilite commits US$741M to InP laser chips for AI optical interconnects"	"Chinese optical chipmaker Jiangsu Vertilite Semiconductor Technology is investing CNY5 billion (approx. US$741 million) in a new communications chip and device R&D and manufacturing base in Changzhou, expanding beyond VCSELs into high-end indium phosphide, or InP, laser chips for AI optical interconnects."	"Semiconductor, AI"	"2026-08-17"	"https://www.digitimes.com/news/a20260817PD215/inp-laser-chips-communications-manufacturing.html"
"4"	"DigiTimes"	"Nvidia closing in on US$100B credit guarantee deal for OpenAI's Ohio data center"	"Nvidia is approaching an agreement to provide credit guarantees of around US$100 billion for OpenAI's 10GW data center in Ohio, among the largest AI infrastructure projects ever, according to The Information . This is a significant reduction from earlier plans by Nvidia to guarantee US$250 billion for the project, alth"	"AI"	"2026-08-17"	"https://www.digitimes.com/news/a20260817VL215/nvidia-openai-data-center-infrastructure-chips.html"
"5"	"Tech in Asia"	"China’s CXMT tops $500b market value, surpasses Tencent"	"Founded in Hefei in 2016, CXMT makes dynamic random-access memory, or DRAM, chips for AI servers, cars, smartphones, and personal computers."	"AI, Semiconductor"	"2026-08-17"	"https://www.techinasia.com/chinas-cxmt-enters-high-end-memory-race-with-samsung-sk-hynix"
"6"	"Electronics Weekly"	"Nvidia books TSMC 1.6nm process for Feynman in H2 2028"	"Nvidia is reported to have booked TSMC A16 capacity for Feynman, its post-Rubin architecture GPU. A16 is TSMC’s 1.6nm successor to its 2nm process N2 with GAA transistors and backside […] The post Nvidia books TSMC 1.6nm process for Feynman in H2 2028 appeared first on Electronics Weekly ."	"Electronics"	"2026-08-17"	"https://www.electronicsweekly.com/news/business/nvidia-books-tsmc-1-6nm-process-for-feynman-in-h2-2028-2026-08/"
"7"	"Channel NewsAsia"	"Analysis:Big investors hunt for tomorrow's AI winners as capex angst fades"	"Analysis:Big investors hunt for tomorrow's AI winners as capex angst fades"	"AI"	"2026-08-17"	"https://www.channelnewsasia.com/business/analysisbig-investors-hunt-tomorrows-ai-winners-capex-angst-fades-6323231"
"8"	"EE Times Asia"	"Compal Electronics to Acquire Semtech Cellular Module Business"	"Semtech is selling its cellular module business to Taiwan-based Compal Electronics for $62 million. The post Compal Electronics to Acquire Semtech Cellular Module Business appeared first on EE Times Asia ."	"Electronics"	"2026-08-17"	"https://www.eetasia.com/compal-electronics-to-acquire-semtech-cellular-module-business/"
"9"	"Tech in Asia"	"Beyond Capital Episode 01 : The Bet"	"An inside look on managing runway, measuring AI returns, and why trust is the real currency between founders and the investors backing them."	"AI"	"2026-08-17"	"https://www.techinasia.com/video/beyondcapital01"
"10"	"EE Times Asia"	"Unified Memory Emerges as Edge AI’s Next Architectural Imperative"	"As AI models and contexts grow, unified memory helps edge systems sustain workloads beyond discrete memory limits. The post Unified Memory Emerges as Edge AI’s Next Architectural Imperative appeared first on EE Times Asia ."	"AI"	"2026-08-17"	"https://www.eetasia.com/unified-memory-emerges-as-edge-ais-next-architectural-imperative/"
"11"	"Tech in Asia"	"GPUs, bought now and paid later"	"Nvidia’s move could reshape Asia’s data center buildout as local chip startups try to break its dominance."	"Semiconductor"	"2026-08-17"	"https://www.techinasia.com/gpus-bought-paid"
"12"	"Nikkei Asia"	"Japan's Rakuten to partner with German AI defense drone startup"	"Japan's Rakuten to partner with German AI defense drone startup"	"AI"	""	"https://asia.nikkei.com/business/aerospace-defense-industries/japan-s-rakuten-to-partner-with-german-ai-defense-drone-startup"
