"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Channel NewsAsia"	"UK's Currys warns memory chip shortage will push up prices"	"UK's Currys warns memory chip shortage will push up prices"	""	"2026-07-02"	"https://www.channelnewsasia.com/business/uks-currys-warns-memory-chip-shortage-will-push-up-prices-6227471"
"2"	"Tech in Asia"	"Nvidia introduces revenue-share model for AI clouds"	"It gives Nvidia standard product revenue and a recurring share of revenue from the supported capacity."	"AI"	"2026-07-02"	"https://www.techinasia.com/nvidia-opens-vera-chip-orders-for-chinese-customers-sources"
"3"	"DigiTimes"	"OpenAI's 5% stake pitch pulls AI deeper into Washington"	"OpenAI has discussed giving the US government a 5% stake in the company, according to the Financial Times , as the AI developer seeks to ease political pressure over model risks and whether Americans should share in the industry's profits. Reuters said it could not independently verify the report."	"AI"	"2026-07-02"	"https://www.digitimes.com/news/a20260702VL215/openai-government-anthropic-google-meta.html"
"4"	"Channel NewsAsia"	"A decade since Duterte's deadly drug war, victims' families continue fight for justice as ICC trial nears"	"Human rights groups believe the true death toll could be in the tens of thousands, arguing that many killings went undocumented."	""	"2026-07-02"	"https://www.channelnewsasia.com/asia/philippines-drug-war-president-duterte-icc-trial-families-6226996"
"5"	"Tech in Asia"	"Kunlun says Tiangong AI ARR tops $800m in Q2"	"DramaWave reached 53 million cumulative downloads by April 2025, with 10 million monthly users."	"AI"	"2026-07-02"	"https://www.techinasia.com/baidu-chipdesign-unit-wins-139m-ai-chip-deal-china-mobile"
"6"	"Tech in Asia"	"Why cheaper AI can’t buy Standard Form hospital trust"	"Standard Form's co-founder and CTO explains why AI cuts the cost of building healthcare software but does nothing to shorten the hard road to earning hospital trust."	"AI"	"2026-07-02"	"https://www.techinasia.com/standard-form-building-ai-for-healthcare"
"7"	"DigiTimes"	"AUO pushes AI-era transformation with executive reshuffle, launch of innovation institute"	"Taiwanese optoelectronics specialist AUO announced organizational adjustments and senior executive appointments on July 1 as it continues to advance its business transformation. The company is aiming for balanced development across its businesses and accelerating its transition into a key solutions provider centered on"	"Electronics"	"2026-07-02"	"https://www.digitimes.com/news/a20260701PD238/auo-optoelectronics-business-development-display.html"
"8"	"DigiTimes"	"Singapore files additional fraud and money laundering charges in Nvidia-linked server case"	"Singapore authorities have filed additional fraud and money laundering charges against four individuals and brought fresh charges against four companies, as part of an investigation linked to the movement of servers that may have contained Nvidia artificial intelligence chips subject to US export controls. The case has"	"AI"	"2026-07-02"	"https://www.digitimes.com/news/a20260702VL213/chips-investigation-nvidia-supermicro.html"
"9"	"Channel NewsAsia"	"Chinese actor now sells vegetables in his hometown after AI takes over China's short dramas"	"Xu Peng went from filming 15 hours a day to having no acting jobs and has now returned to his hometown in rural Shandong to work at a market."	"AI"	"2026-07-02"	"https://www.channelnewsasia.com/entertainment/chinese-actor-xu-peng-sells-vegetables-ai-6226771"
"10"	"EE Times Asia"	"EdgeCortix Successfully Demonstrates Edge AI Platform in USAF Flight Exercise"	"EdgeCortix has demonstrated its SAKURA-II edge AI platform in U.S. Air Force flight operations, earning DIU recognition. The post EdgeCortix Successfully Demonstrates Edge AI Platform in USAF Flight Exercise appeared first on EE Times Asia ."	"AI"	"2026-07-02"	"https://www.eetasia.com/edgecortix-successfully-demonstrates-edge-ai-platform-in-usaf-flight-exercise/"
"11"	"EE Times Asia"	"NTU Singapore Launches Industry-aligned IC Design Program"	"NTU Singapore has launched a new industry-backed IC design program to help meet growing semiconductor talent demand. The post NTU Singapore Launches Industry-aligned IC Design Program appeared first on EE Times Asia ."	"Semiconductor"	"2026-07-02"	"https://www.eetasia.com/ntu-singapore-launches-industry-aligned-ic-design-program/"
"12"	"EE Times Asia"	"Keysight and WIN Collaborate on MMIC Design Workflow"	"New GaN MMIC design workflow developed by Keysight and WIN reduces fabrication risk for 5G, satellite and defense applications. The post Keysight and WIN Collaborate on MMIC Design Workflow appeared first on EE Times Asia ."	""	"2026-07-02"	"https://www.eetasia.com/keysight-and-win-collaborate-on-mmic-design-workflow/"
"13"	"Nikkei Asia"	"Takeda and Insilico strike AI-led drug discovery deal worth up to $600m"	"Takeda and Insilico strike AI-led drug discovery deal worth up to $600m"	""	""	"https://asia.nikkei.com/business/pharmaceuticals/takeda-and-insilico-strike-ai-led-drug-discovery-deal-worth-up-to-600m"
"14"	"Nikkei Asia"	"Kyocera vies with Toto in ceramic parts for chipmaking, data centers"	"Kyocera vies with Toto in ceramic parts for chipmaking, data centers"	""	""	"https://asia.nikkei.com/spotlight/supply-chain/kyocera-vies-with-toto-in-ceramic-parts-for-chipmaking-data-centers"
"15"	"Nikkei Asia"	"China chip material makers battle Japan rivals for $73bn market"	"China chip material makers battle Japan rivals for $73bn market"	""	""	"https://asia.nikkei.com/business/tech/semiconductors/china-chip-material-makers-battle-japan-rivals-for-73bn-market"
