"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"DigiTimes"	"Micron reportedly targets 2× HBM capacity by end-2026; Samsung, SK Hynix keep the scale edge"	"Micron is reportedly preparing to roughly double its high-bandwidth memory capacity by the end of 2026, targeting about 100,000 wafers a month while sharply increasing 12-high HBM4 output for Nvidia's Vera Rubin AI platform."	"AI, Semiconductor"	"2026-09-04"	"https://www.digitimes.com/news/a20260904VL206/micron-hbm-capacity-sk-hynix-samsung.html"
"2"	"DigiTimes"	"CPO high-density optical interconnects drive E&R's submicron 2D FAU breakthrough"	"To meet next-generation high-speed optical interconnect demand, fiber array units (FAU) are moving from traditional one-dimensional layouts to high-density two-dimensional (2D) architectures, raising the bar for hole positioning accuracy, micro-hole size, packing density, and process stability. At SEMICON Taiwan 2026, "	"Semiconductor"	"2026-09-04"	"https://www.digitimes.com/news/a20260903PD242/cpo-demand-laser-silicon-probe.html"
"3"	"DigiTimes"	"Taiwan to expand AI compute capacity as supercomputer at research institute hits full load"	"Taiwan is racing to expand its AI compute capacity as demand for AI chips, GPUs and AI servers surges, with compute infrastructure now central to national competitiveness. According to data provided by the National Science and Technology Council (NSTC), the government-backed mainframe Nano 5 is already fully loaded, wh"	"AI, Semiconductor"	"2026-09-04"	"https://www.digitimes.com/news/a20260904PD213/taiwan-capacity-supercomputer-infrastructure-investment.html"
"4"	"EE Times Asia"	"Enterprise SSD Revenue Doubles to Over $37B in 2Q 2026 as AI Demand Lifts Prices, Shipments"	"AI infrastructure expansion and higher NAND contract prices drove enterprise SSD revenue sharply higher in the second quarter. The post Enterprise SSD Revenue Doubles to Over $37B in 2Q 2026 as AI Demand Lifts Prices, Shipments appeared first on EE Times Asia ."	"AI"	"2026-09-04"	"https://www.eetasia.com/enterprise-ssd-revenue-doubles-to-over-37b-in-2q-2026-as-ai-demand-lifts-prices-shipments/"
"5"	"EE Times Asia"	"Baya Systems Taps Singapore-based AdoreSys to Expand APAC Reach"	"Baya Systems and AdoreSys combine fabric IP, architecture exploration, and ASIC expertise to address complex data-movement challenges. The post Baya Systems Taps Singapore-based AdoreSys to Expand APAC Reach appeared first on EE Times Asia ."	"Semiconductor"	"2026-09-04"	"https://www.eetasia.com/baya-systems-taps-singapore-based-adoresys-to-expand-apac-reach/"
"6"	"EE Times Asia"	"Marvell Expands Memory Disaggregation Strategy to Ease AI Infrastructure Bottlenecks"	"Marvell's CXL, SSD and optical interconnect portfolio targets memory bottlenecks limiting scalability, efficiency and AI inference performance. The post Marvell Expands Memory Disaggregation Strategy to Ease AI Infrastructure Bottlenecks appeared first on EE Times Asia ."	"AI"	"2026-09-04"	"https://www.eetasia.com/marvell-expands-memory-disaggregation-strategy-to-ease-ai-infrastructure-bottlenecks/"
"7"	"Tech in Asia"	"Saudi AI firm Humain unveils Arabic model built on MiniMax M3"	"The launch comes as Saudi Arabia seeks more control over AI technology."	"AI"	"2026-09-04"	"https://www.techinasia.com/saudi-arabia-bets-on-data-centers-to-support-ai-ambitions"
"8"	"Tech in Asia"	"ServiceNow buys Israeli AI startup Sweep"	"The deal would support ServiceNow’s push into AI agents and autonomous enterprise work."	"AI"	"2026-09-04"	"https://www.techinasia.com/firm-servicenow-buys-israeli-ai-startup-traceloop"
"9"	"Tech in Asia"	"AMD, Delhi University to train 10,000 in AI tech"	"The program will give students and faculty access to AMD’s ROCm open-source AI software platform, technical workshops, learning materials."	"AI"	"2026-09-04"	"https://www.techinasia.com/amd-roll-helios-gpu-platform-india-h2-2026"
"10"	"Nikkei Asia"	"Nobody likes data centers and chips, chips, chips"	"Nobody likes data centers and chips, chips, chips"	"Semiconductor"	""	"https://asia.nikkei.com/techasia/nobody-likes-data-centers-and-chips-chips-chips"
