"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"Singapore AI biotech startup ChemT raises $5m"	"The AI biotech startup is building software designed to improve biologics manufacturing."	"Biotechnology, AI"	"2026-06-22"	"https://www.techinasia.com/endowus-ceo-gregory-van-optimistic-profitability"
"2"	"DigiTimes"	"India roundup: Apple's India manufacturing bet faces reminder of operational risks after Tata probe closure"	"India is accelerating its electronics manufacturing ambitions through AI infrastructure, semiconductor packaging, rare earth development, and foreign investment, even as regulatory compliance, traceability, and supply chain resilience remain key challenges."	"Semiconductor, Electronics, AI"	"2026-06-21"	"https://www.digitimes.com/news/a20260621VL200/manufacturing-probe-apple-electronics-market.html"
"3"	"DigiTimes"	"Interview: MetaComp on its KYA framework and the agentic future of finance"	"Agentic AI is entering the financial sector, and a future where agents make purchases and manage wealth on people's behalf is appearing on the horizon – but is the financial system ready for this?"	"AI"	"2026-06-21"	"https://www.digitimes.com/news/a20260618VL212/finance-governance-regulation.html"
"4"	"DigiTimes"	"MSScorps expands Taiwan investment again for silicon photonics"	"Taiwan's investment office, InvesTaiwan, under the Ministry of Economic Affairs, has approved expanded Taiwan investment plans from four companies, led by MSScorps, which will invest NT$1.5 billion (US$47.4 million) and is filing for the third time. The company plans to add production lines and adopt AI technology at i"	"AI"	"2026-06-21"	"https://www.digitimes.com/news/a20260618PD236/taiwan-investment-msscorps-silicon-photonics.html"
"5"	"Channel NewsAsia"	"Commentary: Anthropic’s call for AI development pause deserves attention. It also raises questions"	"Anthropic’s call for a global pause in AI development deserves to be taken seriously but a pause is structurally unlikely, says NUS' Jungpil Hahn."	"AI"	"2026-06-21"	"https://www.channelnewsasia.com/commentary/anthropic-pause-ai-development-governance-adoption-6189656"
"6"	"Tech in Asia"	"Mapping the dominant players in Israel’s AI field"	"Mapping Israel's AI sector: Key players, top investors, and funding insights in one report."	"AI"	"2026-06-21"	"https://www.techinasia.com/visual-story/mapping-dominant-players-israels-ai-field"
"7"	"Tech in Asia"	"LG CNS joins AI push for South Korean manufacturers"	"Government and participating large companies covering up to 60%, or 1.8 billion won (US$1.17 million)."	"AI"	"2026-06-21"	"https://www.techinasia.com/lg-cns-expands-role-in-robot-ai-training-for-manufacturers"
"8"	"Nikkei Asia"	"Optical cable maker WCFO to add Cambodia capacity amid AI boom"	"Optical cable maker WCFO to add Cambodia capacity amid AI boom"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/optical-cable-maker-wcfo-to-add-cambodia-capacity-amid-ai-boom"
"9"	"Nikkei Asia"	"Japan targets $65bn in public-private physical AI investment by 2040"	"Japan targets $65bn in public-private physical AI investment by 2040"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/japan-targets-65bn-in-public-private-physical-ai-investment-by-2040"
"10"	"Nikkei Asia"	"The AI boom is quietly choking people in East Asia"	"The AI boom is quietly choking people in East Asia"	"AI"	""	"https://asia.nikkei.com/opinion/the-ai-boom-is-quietly-choking-people-in-east-asia"
"11"	"KED Global"	"AI trade isn’t just about tech stocks but also power, TCW says"	"The artificial intelligence boom has sent investors racing into chipmakers, cloud providers and megacap technology stocks, but a more durable opportun"	"AI"	""	"https://www.kedglobal.com/asset-management/newsView/ked202606010002"
"12"	"KED Global"	"No career ambition, no ego: AI plays devil's advocate at Audax Private Equity"	"Generative AI is challenging traditional investment theses, acting as a devil's advocate to sharpen decision-making, particularly when it comes to ass"	"AI"	""	"https://www.kedglobal.com/private-equity/newsView/ked202603120002"
"13"	"KED Global"	"EuBiologics partners with Korea's health agency to develop Nipah virus vaccine candidate"	"EuBiologics Co., South Korea's vaccine-focused biotechnology company, is developing a vaccine candidate against the Nipah virus, an infectious disease"	"Biotechnology"	""	"https://www.kedglobal.com/bio-pharma/newsView/ked202603100001"
