"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"Series SEA: Who’s investing in the region’s biotech startups?"	"We've compiled a list of investors that are pouring money into Southeast Asia’s biotech startups."	"Biotechnology"	"2026-07-24"	"https://www.techinasia.com/top-sea-investors-biotech"
"2"	"Channel NewsAsia"	"India's HCLTech to set up $1.48 billion AI data center along with domestic startup"	"India's HCLTech to set up $1.48 billion AI data center along with domestic startup"	"AI"	"2026-07-24"	"https://www.channelnewsasia.com/business/indias-hcltech-set-up-148-billion-ai-data-center-along-domestic-startup-6275501"
"3"	"DigiTimes"	"Samsung, LG showcase AI-era displays for humanoid robots"	"Samsung Display (SDC) and LG Display (LGD) have unveiled a range of display concepts for next-generation AI applications at the 2026 Korea Display Exhibition (K-Display) in Seoul, ranging from face displays for humanoid robots and AI smart glasses to hidden or retractable in-car screens, building upon the companies' fo"	"AI, Automation"	"2026-07-24"	"https://www.digitimes.com/news/a20260724PD229/sdc-lg-display-robot-automotive-display.html"
"4"	"DigiTimes"	"Samsung Electro-Mechanics wins US$200 million AI server capacitor order"	"Samsung Electro-Mechanics disclosed on July 23 that it signed a KRW295.12 billion (US$200 million) supply contract with a major global company for multilayer ceramic capacitors used in artificial intelligence servers and data center systems."	"AI"	"2026-07-24"	"https://www.digitimes.com/news/a20260724VL215/semco-capacitor-ai-server-mlcc-silicon.html"
"5"	"DigiTimes"	"India's chip plants face harder test: finding repeat customers."	"India's first major semiconductor customers are likely to come through existing global supply chains rather than domestic electronics brands immediately replacing imported components, according to analysts."	"Semiconductor, Electronics, Logistics"	"2026-07-24"	"https://www.digitimes.com/news/a20260724VL212/india-ic-manufacturing-fab-automotive-electronics-demand.html"
"6"	"Channel NewsAsia"	"Trump under pressure from all sides over Chinese AI surge"	"Trump under pressure from all sides over Chinese AI surge"	"AI"	"2026-07-24"	"https://www.channelnewsasia.com/world/trump-us-china-ai-surge-open-source-models-kimi-k3-6275411"
"7"	"Channel NewsAsia"	"India's Coforge secures over $230 million AI transformation contract with European client"	"India's Coforge secures over $230 million AI transformation contract with European client"	"AI"	"2026-07-24"	"https://www.channelnewsasia.com/business/indias-coforge-secures-over-230-million-ai-transformation-contract-european-client-6275396"
"8"	"Tech in Asia"	"B Capital names new chief AI officer"	"The hire adds an AI lead at B Capital, which invests from seed to early- and late-stage venture growth across technology, healthcare, and resilience tech."	"AI"	"2026-07-24"	"https://www.techinasia.com/us-ai-platform-palebluedot-valued-at-1b-in-b-capital-led-round"
"9"	"Tech in Asia"	"Nvidia, KAIST to invest $300m in AI research center"	"The center will develop Korean-language and industry-specific AI systems over an initial five-year period."	"AI"	"2026-07-24"	"https://www.techinasia.com/nvidia-intel-join-ai-startup-prime-intellects-130m"
"10"	"Nikkei Asia"	"Vietnam tech giant FPT aims to tap Thai demand for AI"	"Vietnam tech giant FPT aims to tap Thai demand for AI"	"AI"	""	"https://asia.nikkei.com/business/technology/vietnam-tech-giant-fpt-aims-to-tap-thai-demand-for-ai"
"11"	"Nikkei Asia"	"Thailand's investment applications jump 37% in Jan-June on AI boom"	"Thailand's investment applications jump 37% in Jan-June on AI boom"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/thailand-s-investment-applications-jump-37-in-jan-june-on-ai-boom"
