"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"Chinese robotics company Coowa readies Hong Kong IPO"	"CooWa deployed over 10,000 robots across more than 50 cities and regions globally."	"Automation"	"2026-06-22"	"https://www.techinasia.com/endowus-ceo-gregory-van-optimistic-profitability"
"2"	"DigiTimes"	"LG Group execs visit Nvidia to expand physical AI and robotics ties"	"LG Group dispatched senior executives to Nvidia's headquarters in Santa Clara, California, on June 22, 2026, to negotiate expanded cooperation in physical AI and robotics, following a leadership meeting between the two companies in Seoul on June 8, 2026. The delegation comprised more than 30 people from LG affiliates t"	"AI, Automation"	"2026-06-22"	"https://www.digitimes.com/news/a20260622PD232/lg-nvidia-robotics-2026-infrastructure.html"
"3"	"DigiTimes"	"Japan puts robotics at heart of US$2.3 trillion chip revival"	"Japan is preparing a sweeping public-private investment strategy totaling more than JPY370 trillion (US$2.3 trillion) by fiscal 2040, spanning 17 strategic sectors including AI, semiconductors, aerospace, and energy-related industries."	"Semiconductor, Automation"	"2026-06-22"	"https://www.digitimes.com/news/a20260622VL215/growth-robotics-investment-demand-government.html"
"4"	"DigiTimes"	"Commentary: Google defines AI path to ASI, validates chip boom"	"Google released a 30,000-word AI roadmap on June 14 that, for the first time, clearly defines AI having the capability of 100 million humans as a key milestone on the path to artificial superintelligence (ASI). The plan outlines a three-stage evolution from today's large models to artificial general intelligence (AGI) "	"AI"	"2026-06-22"	"https://www.digitimes.com/news/a20260622PD225/google-ai-infrastructure-alibaba-openai-roadmap.html"
"5"	"Tech in Asia"	"UBTech unveils Walker C1 service humanoid in Beijing"	"UBTECH's Walker C1 robot stands 165 cm tall and weighs 50 kg with 26 degrees of freedom."	"Automation"	"2026-06-22"	"https://www.techinasia.com/chinas-ubtech-boost-humanoid-robot-production-10-2026"
"6"	"Tech in Asia"	"IBM, OpenAI launch AI service for app security"	"IBM's new service uses OpenAI's AI to prioritize code sections likely to contain vulnerabilities."	"AI"	"2026-06-22"	"https://www.techinasia.com/ibm-metas-ai-alliance-launches-indonesia"
"7"	"Channel NewsAsia"	"'Five Eyes' intelligence alliance warns that new AI models pose urgent cyber risk"	"'Five Eyes' intelligence alliance warns that new AI models pose urgent cyber risk"	"AI"	"2026-06-22"	"https://www.channelnewsasia.com/business/five-eyes-intelligence-alliance-warns-new-ai-models-pose-urgent-cyber-risk-6202181"
"8"	"Channel NewsAsia"	"Commentary: ChatGPT moved my cheese - AI is unsettling the self-help shelf"	"Instant summaries sound the death knell for the bullet-point books that prey on our insecurities, says Emma Jacobs for the Financial Times."	"AI"	"2026-06-22"	"https://www.channelnewsasia.com/commentary/chatgpt-ai-self-help-seven-habits-friends-influence-people-6200336"
"9"	"Channel NewsAsia"	"Qualcomm nearing deal for AI chip startup Modular, Bloomberg News reports"	"Qualcomm nearing deal for AI chip startup Modular, Bloomberg News reports"	"AI"	"2026-06-22"	"https://www.channelnewsasia.com/business/qualcomm-nearing-deal-ai-chip-startup-modular-bloomberg-news-reports-6202061"
"10"	"EE Times Asia"	"EE Power Asia 2026 to Spotlight Technologies Driving the Next Era of Electrification"	"Now in its fourth year, EE Power Asia brings together industry leaders to discuss power electronics, AI infrastructure, and electric mobility. The post EE Power Asia 2026 to Spotlight Technologies Driving the Next Era of Electrification appeared first on EE Times Asia ."	"Electronics, AI"	"2026-06-22"	"https://www.eetasia.com/ee-power-asia-2026-to-spotlight-technologies-driving-the-next-era-of-electrification/"
"11"	"Nikkei Asia"	"Japan's 'Sakana Fugu' multiagent AI scores well against Fable 5, GPT 5.5"	"Japan's 'Sakana Fugu' multiagent AI scores well against Fable 5, GPT 5.5"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/japan-s-sakana-fugu-multiagent-ai-scores-well-against-fable-5-gpt-5.5"
"12"	"Nikkei Asia"	"China expo draws Nvidia, Apple, Micron as Beijing guards AI supply chain"	"China expo draws Nvidia, Apple, Micron as Beijing guards AI supply chain"	"AI"	""	"https://asia.nikkei.com/spotlight/supply-chain/china-expo-draws-nvidia-apple-micron-as-beijing-guards-ai-supply-chain"
"13"	"Nikkei Asia"	"Japan seeks AI alliances with France, India to curb US-China dominance"	"Japan seeks AI alliances with France, India to curb US-China dominance"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/japan-seeks-ai-alliances-with-france-india-to-curb-us-china-dominance"
"14"	"KED Global"	"AI trade isn’t just about tech stocks but also power, TCW says"	"The artificial intelligence boom has sent investors racing into chipmakers, cloud providers and megacap technology stocks, but a more durable opportun"	"AI"	""	"https://www.kedglobal.com/asset-management/newsView/ked202606010002"
"15"	"KED Global"	"No career ambition, no ego: AI plays devil's advocate at Audax Private Equity"	"Generative AI is challenging traditional investment theses, acting as a devil's advocate to sharpen decision-making, particularly when it comes to ass"	"AI"	""	"https://www.kedglobal.com/private-equity/newsView/ked202603120002"
"16"	"KED Global"	"EuBiologics partners with Korea's health agency to develop Nipah virus vaccine candidate"	"EuBiologics Co., South Korea's vaccine-focused biotechnology company, is developing a vaccine candidate against the Nipah virus, an infectious disease"	"Biotechnology"	""	"https://www.kedglobal.com/bio-pharma/newsView/ked202603100001"
