"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"Nvidia, Indosat launch Gadjah Mada AI center"	"The center is part of the national AI Center of Excellence, led by the ministry under Indonesia's Golden 2045 Vision as a sovereign AI and skills-building program."	"AI"	"2026-08-14"	"https://www.techinasia.com/nvidia-kaist-to-invest-300m-in-ai-research-center"
"2"	"Tech in Asia"	"50 rising AI startups in Asia"	"These AI startups have a shot at becoming the next big thing."	"AI"	"2026-08-14"	"https://www.techinasia.com/50-rising-ai-startups-in-asia"
"3"	"DigiTimes"	"China's video AI dominance paves the way for world model boom"	"Chinese AI video-generation models are taking the world by storm. This competitive edge is not only disrupting Hollywood, but could also extend into the realm of ""world models."""	"AI"	"2026-08-13"	"https://www.digitimes.com/news/a20260812PD220/data-robotics-alibaba-startup-tsinghua-university.html?chid=10"
"4"	"DigiTimes"	"Taiwan Microloops posts record July revenue as AI cooling demand lifts second-half outlook"	"Taiwan Microloops reported stronger second-quarter and first-half 2026 results, supported by rising shipments of cooling modules for AI server customers. The Taiwan-based supplier said the improvement came as new-model products began shipping to a major cloud service provider customer in the second quarter, helping mar"	"AI"	"2026-08-13"	"https://www.digitimes.com/news/a20260812PD240/asia-revenue-cooling-demand-2026.html"
"5"	"DigiTimes"	"Kaori Heat Treatment to invest NT$3 billion in Taiwan and Thailand expansion"	"Kaori Heat Treatment has approved a major capacity expansion in Taiwan and Thailand as demand rises for AI cooling components and fuel cells. The heat-treatment maker said its board agreed to buy land and buildings in Taoyuan's Zhongli District for NT$2.38 billion and to build a new plant in Thailand with an investment"	"AI"	"2026-08-13"	"https://www.digitimes.com/news/a20260812PD241/kaori-taiwan-demand-fuel-capacity-expansion.html"
"6"	"Channel NewsAsia"	"Can one speaker really replace a hi-fi system? We test five premium models"	"Bang & Olufsen, Bowers & Wilkins, Devialet, Naim and Sonus Faber take different approaches to the all-in-one speaker – from discreet furniture piece to unapologetic showstopper."	"Semiconductor"	"2026-08-13"	"https://www.channelnewsasia.com/experiences/best-all-in-one-speakers-6311661"
"7"	"Channel NewsAsia"	"Commentary: AI is changing how films are made, not what makes them worth watching"	"The controversy over AI-generated local movies actually tells us something useful about AI, says The Teenage Textbook Movie director Phillip Lim."	"AI"	"2026-08-13"	"https://www.channelnewsasia.com/commentary/ai-film-slop-trace-project-movie-art-6317161"
"8"	"Channel NewsAsia"	"From summer camps to big salaries: China’s AI talent race is starting young and going big"	"AI talent is commanding a huge premium in China - and parents are betting that exposing their children to technology early could give them a headstart."	"AI"	"2026-08-13"	"https://www.channelnewsasia.com/east-asia/summer-camps-big-salaries-chinas-ai-talent-race-starting-young-and-going-big-6302251"
"9"	"Tech in Asia"	"Chinese chipmaker YMTC tops Kioxia in NAND shipments: report"	"Counterpoint said YMTC still ranked fifth by sales, behind Micron Technology and Kioxia."	"Semiconductor"	"2026-08-13"	"https://www.techinasia.com/samsung-leads-global-memory-sales-as-sk-hynix-tops-ai-chips"
"10"	"Nikkei Asia"	"Japan self-driving startup Tier IV to design open-source AI chips"	"Japan self-driving startup Tier IV to design open-source AI chips"	"AI, Semiconductor"	""	"https://asia.nikkei.com/business/automobiles/japan-self-driving-startup-tier-iv-to-design-open-source-ai-chips"
"11"	"Nikkei Asia"	"Japan to deploy stronger AI safeguards as model capabilities advance"	"Japan to deploy stronger AI safeguards as model capabilities advance"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/japan-to-deploy-stronger-ai-safeguards-as-model-capabilities-advance"
"12"	"Nikkei Asia"	"Chipmaker CXMT becomes China's most valuable company as Tencent slips"	"Chipmaker CXMT becomes China's most valuable company as Tencent slips"	"Semiconductor"	""	"https://asia.nikkei.com/business/markets/equities/chipmaker-cxmt-becomes-china-s-most-valuable-company-as-tencent-slips"
