"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"DigiTimes"	"SpaceX's first earnings as a public company show an AI bet outrunning its cash generation"	"SpaceX's debut quarterly report as a listed company laid out the scale of the wager it is making on artificial intelligence compute, a business now large enough to reshape the group's finances just seven weeks after its Nasdaq debut."	"AI"	"2026-08-04"	"https://www.digitimes.com/news/a20260805VL202/spacex-earnings-revenue-business-loss.html"
"2"	"DigiTimes"	"AMD leans on Helios and hyperscaler deals to press its case against Nvidia in AI chips"	"AMD used its second-quarter 2026 results to reinforce a broader argument: that it can replicate in AI accelerators the market-share gains it has already made in server central processing units (CPUs), according to the latest results released on August 4."	"AI, Semiconductor"	"2026-08-04"	"https://www.digitimes.com/news/a20260805VL201/amd-nvidia-chips-2026-revenue.html"
"3"	"DigiTimes"	"Samsung previews zHBM stacked-on-logic concept, 400-layer bonded NAND at FMS 2026"	"Samsung Electronics used the Future of Memory and Storage (FMS) 2026 conference to lay out an AI memory roadmap built around 3D architecture, previewing two concept models — zHBM and zNAND-O — and disclosing a 400-plus-layer NAND built on wafer bonding for the first time."	"Electronics, AI, Semiconductor"	"2026-08-04"	"https://www.digitimes.com/news/a20260805VL200/samsung-2026-nand-dram-3d.html"
"4"	"Channel NewsAsia"	"Trump advisers tell AI firms they will not safety-test open-weight models, sources say"	"Trump advisers tell AI firms they will not safety-test open-weight models, sources say"	"AI"	"2026-08-04"	"https://www.channelnewsasia.com/business/trump-advisers-tell-ai-firms-they-will-not-safety-test-open-weight-models-sources-say-6299116"
"5"	"Channel NewsAsia"	"SpaceX's first quarterly results as a public company beat expectations, but AI costs hit stock"	"SpaceX's first quarterly results as a public company beat expectations, but AI costs hit stock"	"AI"	"2026-08-04"	"https://www.channelnewsasia.com/business/spacexs-first-quarterly-results-public-company-beat-expectations-ai-costs-hit-stock-6299041"
"6"	"EE Times Asia"	"USB 20Gbps Adoption Drives New Compliance Challenges for High-Speed System Design"	"AI PCs and edge computing accelerate USB evolution, making electrical compliance testing increasingly critical for reliable designs. The post USB 20Gbps Adoption Drives New Compliance Challenges for High-Speed System Design appeared first on EE Times Asia ."	"AI"	"2026-08-04"	"https://www.eetasia.com/usb-20gbps-adoption-drives-new-compliance-challenges-for-high-speed-system-design/"
"7"	"Tech in Asia"	"Indian legal AI startup Nyai raises $1.5m seed"	"NYAI said its software can work with language models already licensed by clients and that it supports on-premises deployment for regulated institutions."	"AI"	"2026-08-04"	"https://www.techinasia.com/courtroom-chaos-silicon-valley-ai-losing-asia"
"8"	"Tech in Asia"	"South Korea’s Hanwha launches AI memory ETF"	"The ETF allocates half its portfolio to nine government bond issues."	"AI"	"2026-08-04"	"https://www.techinasia.com/coupang-fire-shifts-focus-damage-insurance-claims"
"9"	"Tech in Asia"	"Chipmaker Onsemi sees stronger Q3 on AI demand"	"Onsemi also said in July that it had sold two manufacturing facilities as part of its Fab Right strategy."	"AI, Semiconductor"	"2026-08-04"	"https://www.techinasia.com/semiconductor-agrees-buy-synaptics-7b"
"10"	"EE Times Asia"	"AMD, South Korea Ink Partnership to Advance Open Sovereign AI Infrastructure"	"Partnership aims to strengthen South Korea's sovereign AI ecosystem through open computing, research collaboration, and talent development. The post AMD, South Korea Ink Partnership to Advance Open Sovereign AI Infrastructure appeared first on EE Times Asia ."	"AI"	"2026-08-02"	"https://www.eetasia.com/amd-south-korea-ink-partnership-to-advance-open-sovereign-ai-infrastructure/"
"11"	"Nikkei Asia"	"Furukawa Electric to spend $635m in Japan, US, Brazil, India amid AI boom"	"Furukawa Electric to spend $635m in Japan, US, Brazil, India amid AI boom"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/furukawa-electric-to-spend-635m-in-japan-us-brazil-india-amid-ai-boom"
"12"	"Nikkei Asia"	"Japan weighs use of Palantir, Anduril AI systems for defense forces"	"Japan weighs use of Palantir, Anduril AI systems for defense forces"	"AI"	""	"https://asia.nikkei.com/politics/defense/japan-weighs-use-of-palantir-anduril-ai-systems-for-defense-forces"
"13"	"Nikkei Asia"	"SoftBank builds out AI sphere with stake in 7-Eleven owner"	"SoftBank builds out AI sphere with stake in 7-Eleven owner"	"AI"	""	"https://asia.nikkei.com/business/technology/artificial-intelligence/softbank-builds-out-ai-sphere-with-stake-in-7-eleven-owner"
