"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"EE Times Asia"	"Lam Research to Add 200 Singapore Roles as Advanced Chipmaking Demand Grows"	"Lam Research is expanding its Singapore engineering workforce to support advanced packaging, HBM and silicon photonics technologies. The post Lam Research to Add 200 Singapore Roles as Advanced Chipmaking Demand Grows appeared first on EE Times Asia ."	"Semiconductor"	"2026-08-13"	"https://www.eetasia.com/lam-research-to-add-200-singapore-roles-as-advanced-chipmaking-demand-grows/"
"2"	"DigiTimes"	"Samsung to expand 2026 TV LCD buys from BOE as TCL orders drop"	"Samsung Electronics is set to increase its TV LCD panel purchases in 2026, even as global shipments of TV LCDs are forecast to decline. The buying shift will favor BOE Technology Group and reduce Samsung's reliance on TCL China Star Optoelectronics Technology (TCL CSOT), according to ZDNet Korea , citing market researc"	"Electronics"	"2026-08-13"	"https://www.digitimes.com/news/a20260813PD212/samsung-tv-tcl-2026-lcd.html"
"3"	"Tech in Asia"	"Mapping the AI startups making waves in Japan"	"Mapping Japan's AI sector: Key players, top investors, and funding insights in one report."	"AI"	"2026-08-13"	"https://www.techinasia.com/visual-story/mapping-japans-leading-ai-startups"
"4"	"EE Times Asia"	"Server-led eSSDs Hit 48% of NAND Shipments"	"The global NAND market in 2Q 2026 was defined by the migration of AI workloads from training to inference. The post Server-led eSSDs Hit 48% of NAND Shipments appeared first on EE Times Asia ."	"AI"	"2026-08-13"	"https://www.eetasia.com/server-led-essds-hit-48-of-nand-shipments/"
"5"	"DigiTimes"	"Lenovo Capital backs Niobium Optoelectronics in Series B funding for TFLN chips"	"Jiangsu Niobium Optoelectronics Technology, a Chinese maker of thin-film lithium niobate (TFLN) photonic chips, has closed a Series B funding round worth several hundred million yuan as demand for AI data center interconnects rises. Lenovo Capital joined the investor lineup through its Shanghai Lenovo Future Venture Ca"	"Electronics, AI, Semiconductor"	"2026-08-13"	"https://www.digitimes.com/news/a20260813PD209/lenovo-thin-film-chips-funding-lithium.html"
"6"	"DigiTimes"	"TSMC-Sony image sensor venture pushes Japan chip investment to JPY6 trillion"	"TSMC said on August 11 that it will invest in CMOS image sensor development and mass production with Sony Group in Kumamoto Prefecture, Japan, adding to a wave of foreign chip spending backed by Japanese subsidies. According to Nikkei Asia , Japan's total foreign investment in semiconductor plants has now reached JPY6 "	"Semiconductor"	"2026-08-13"	"https://www.digitimes.com/news/a20260813PD211/tsmc-investment-sensor-cmos-sony.html"
"7"	"Channel NewsAsia"	"Google unveils latest Pixel 11 phones with slimmer cameras and more AI features"	"Customers in Singapore can now preorder the Pixel 11 series, starting at S$1,299."	"AI"	"2026-08-13"	"https://www.channelnewsasia.com/living/google-pixel-11-series-6315196"
"8"	"Tech in Asia"	"AI chipmaker Cerebras lifts 2026 outlook"	"Cerebras is counting on demand for AI inference, the computing work done when users query chatbots, to challenge Nvidia."	"AI, Semiconductor"	"2026-08-13"	"https://www.techinasia.com/nvidia-rival-cerebras-seeks-1b-at-22b-valuation"
"9"	"Tech in Asia"	"US plans AI trade platform for trusted partners"	"The US State Department said it would commit up to US$50 million in foreign assistance funding for the platform."	"AI"	"2026-08-13"	"https://www.techinasia.com/airtrunk-secures-23b-green-loan-malaysia-hub"
"10"	"EE Times Asia"	"Advancing AI 2026 Developer Sessions: Where AI Builders Gather to Engineer Tomorrow’s AI"	"Advancing AI 2026 Developer Sessions united over 2,000 developers around AMD’s open AI ecosystem, featuring ROCm.ai, ROCm Certified Associate training, 44 hours of hands-on labs, and workshops on agentic AI, multimodal agents, and physical AI robotics—empowering developers to build, optimize, and deploy next-gen AI wor"	"AI, Automation"	"2026-08-12"	"https://www.eetasia.com/embeddedblog-advancing-ai-2026-developer-sessions-where-ai-builders-gather-to-engineer-tomorrows-ai/"
"11"	"Nikkei Asia"	"Optimism grows for broader Japanese stocks amid chip concerns"	"Optimism grows for broader Japanese stocks amid chip concerns"	"Semiconductor"	""	"https://asia.nikkei.com/business/markets/optimism-grows-for-broader-japanese-stocks-amid-chip-concerns"
"12"	"Nikkei Asia"	"Key Nvidia supplier Foxconn downplays rising competition in AI servers"	"Key Nvidia supplier Foxconn downplays rising competition in AI servers"	"AI"	""	"https://asia.nikkei.com/business/technology/key-nvidia-supplier-foxconn-downplays-rising-competition-in-ai-servers"
