"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"STMicroelectronics, NUS launch edge AI lab in Singapore"	"The lab will use ST’s P18 18nm FD-SOI technology and embedded phase-change memory."	"Electronics, AI"	"2026-08-24"	"https://www.techinasia.com/aws-partners-with-european-chipmaker-for-data-center-chips"
"2"	"Tech in Asia"	"The audio-only AI companion fighting youth screen addiction"	"Wippi is building a screen-free AI companion to tackle childhood tech addiction through interactive stories and conversational games."	"AI"	"2026-08-24"	"https://www.techinasia.com/audioonly-ai-companion-fighting-youth-screen-addiction"
"3"	"Tech in Asia"	"Xiaomi launches Xring O3 chip with TSMC production"	"TSMC will manufacture the chip using its 3-nanometre process."	"Semiconductor"	"2026-08-24"	"https://www.techinasia.com/xiaomi-plans-release-in-house-xring-chip-each-year"
"4"	"Channel NewsAsia"	"Trabzonspor set to sign Fabinho on free transfer"	"Trabzonspor set to sign Fabinho on free transfer"	"Semiconductor"	"2026-08-24"	"https://www.channelnewsasia.com/sport/trabzonspor-set-sign-fabinho-free-transfer-6337276"
"5"	"DigiTimes"	"Advanced packaging substrates hit limits; ceramic cores rise to challenge glass materials"	"As hardware demands for artificial intelligence continue to surge, beyond increased size and complexity in chip packaging, advanced packaging substrates face mounting challenges: larger package footprints, higher layer counts, lower warpage, and higher accuracy. However, relying solely on incremental upgrades to tradit"	"AI, Semiconductor"	"2026-08-24"	"https://www.digitimes.com/news/a20260824PD221/ceramic-substrate-glass-substrate-packaging-materials-hardware-manufacturing.html"
"6"	"DigiTimes"	"Nvidia's strikes US$6B licensing deal with Poolside to accelerate Nemotron models"	"Nvidia reportedly struck a US$6 billion deal with startup Poolside to license its technology and hire much of its staff. The technology and personnel will reportedly support the chipmaker's Nemotron models in a bid to compete with China's strength in open-source models, but the deal also puts Nvidia in competition with"	"Semiconductor"	"2026-08-24"	"https://www.digitimes.com/news/a20260824VL209/nvidia-licensing-startup-open-source-technology.html"
"7"	"DigiTimes"	"Samsung's DRAM capacity lead shrinks as SK Hynix expands faster"	"Samsung Electronics' DRAM wafer capacity will grow only marginally through 2027, with investment directed at node migration and line conversions rather than aggressive wafer-capacity expansion, according to Omdia data obtained by Chosun Biz ."	"Electronics, Semiconductor"	"2026-08-24"	"https://www.digitimes.com/news/a20260824VL210/samsung-capacity-dram-wafer-2027.html"
"8"	"Channel NewsAsia"	"Xiaomi launches new Xring chip, partners with TSMC for production, sources say"	"Xiaomi launches new Xring chip, partners with TSMC for production, sources say"	"Semiconductor"	"2026-08-24"	"https://www.channelnewsasia.com/business/xiaomi-launches-new-xring-chip-partners-tsmc-production-sources-say-6337181"
"9"	"EE Times Asia"	"Advantech Launches Qualcomm Dragonwing-based Solutions for Industrial Vision Intelligence"	"Designed for industrial-grade vision intelligence, Advantech's latest edge AI solutions deliver up to 100 TOPS AI performance and support up to 16 concurrent cameras. The post Advantech Launches Qualcomm Dragonwing-based Solutions for Industrial Vision Intelligence appeared first on EE Times Asia ."	"AI"	"2026-08-24"	"https://www.eetasia.com/advantech-launches-qualcomm-dragonwing-based-solutions-for-industrial-vision-intelligence/"
"10"	"Nikkei Asia"	"Alibaba shares plunge after $10bn new share placement to fund AI spending"	"Alibaba shares plunge after $10bn new share placement to fund AI spending"	"AI"	""	"https://asia.nikkei.com/business/technology/alibaba-shares-plunge-after-10bn-new-share-placement-to-fund-ai-spending"
