"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Channel NewsAsia"	"Dissected: How scammers built a fake Zoom call from real videos of PM Wong and other Singapore leaders"	"Analysis of full footage shared exclusively with CNA found that the scammers used obscure or dated YouTube videos of high-profile figures, alongside other deceptive techniques, to make their fabricated virtual event convincing."	"Semiconductor"	"2026-08-21"	"https://www.channelnewsasia.com/singapore/zoom-scam-5-million-analysis-full-video-6332621"
"2"	"Channel NewsAsia"	"US health department seeks public feedback on vaccine guidelines after Trump order"	"Public feedback opens on whether some vaccines should carry age limits or qualifications, as the US health department reviews federal recommendations."	"Biotechnology"	"2026-08-21"	"https://www.channelnewsasia.com/world/us-health-department-feedback-vaccines-6333796"
"3"	"Tech in Asia"	"Mapping the dominant players in Israel’s AI field"	"Mapping Israel's AI sector: Key players, top investors, and funding insights in one report."	"AI"	"2026-08-21"	"https://www.techinasia.com/visual-story/mapping-dominant-players-israels-ai-field"
"4"	"DigiTimes"	"DS Technology shifts from custom automation to modular systems, eyes Brazil and Mexico"	"Taiwanese automation integrator DS Technology is shifting more of its highly customized robotic automation work toward standardized, modular systems as it seeks to make its technology easier to sell and deploy overseas, with prospective partners in Brazil and Mexico among its latest expansion targets."	"Automation"	"2026-08-21"	"https://www.digitimes.com/news/a20260821VL215/automation-taiwan-mexico-brazil-technology.html"
"5"	"DigiTimes"	"China chip equipment maker Piotech posts 1,324% profit surge, advanced deposition scales up"	"Piotech Inc. reported a sharp rise in first-half 2026 earnings, helped by stronger demand for semiconductor deposition equipment, wider adoption of new process tools and improving economies of scale."	"Semiconductor"	"2026-08-21"	"https://www.digitimes.com/news/a20260821VL214/equipment-profit-revenue-production-2026.html"
"6"	"EE Times Asia"	"Rising AI Power Density Drives New Cooling Demands as T-Global Expands in Vietnam"	"T-Global Technology highlights composite materials and direct liquid cooling as thermal demands increase across AI and high-power electronics. The post Rising AI Power Density Drives New Cooling Demands as T-Global Expands in Vietnam appeared first on EE Times Asia ."	"Electronics, AI"	"2026-08-21"	"https://www.eetasia.com/rising-ai-power-density-drives-new-cooling-demands-as-t-global-expands-in-vietnam/"
"7"	"Tech in Asia"	"Salesforce expands AI agent access via MCP, Slack"	"AI agents with the right permissions can securely discover and use business capabilities through the open Model Context Protocol (MCP)."	"AI"	"2026-08-21"	"https://www.techinasia.com/salesforce-update-slack-30-ai-features"
"8"	"DigiTimes"	"Broadcom reportedly eyes up to US$100B debt financing to expand AI chip push"	"Broadcom is in talks with asset managers to raise more than US$60 billion in debt financing, with the potential package reaching as much as US$100 billion, as the chipmaker moves to expand its role in the rapidly growing AI infrastructure market, according to Bloomberg ."	"AI, Semiconductor"	"2026-08-21"	"https://www.digitimes.com/news/a20260821VL213/broadcom-financing-infrastructure-capacity-anthropic.html"
"9"	"Tech in Asia"	"CoreWeave signs multibillion AI deal with quant trader"	"Rival Jane Street committed $6 billion and took a $1 billion equity stake in CoreWeave."	"AI"	"2026-08-21"	"https://www.techinasia.com/coreweave-vast-data-ink-1-2b-deal-to-build-ai-cloud-infrastructure"
"10"	"Nikkei Asia"	"Japan's Tokuyama to make key chip material in Vietnam, Malaysia"	"Japan's Tokuyama to make key chip material in Vietnam, Malaysia"	"Semiconductor"	""	"https://asia.nikkei.com/business/tech/semiconductors/japan-s-tokuyama-to-make-key-chip-material-in-vietnam-malaysia"
"11"	"Nikkei Asia"	"YMTC parent seeks $4.9bn Shanghai IPO on AI memory boom"	"YMTC parent seeks $4.9bn Shanghai IPO on AI memory boom"	"AI"	""	"https://asia.nikkei.com/business/markets/ipo/ymtc-parent-seeks-4.9bn-shanghai-ipo-on-ai-memory-boom"
"12"	"Nikkei Asia"	"Samsung's record $79bn shareholder return reflects AI boom pressure"	"Samsung's record $79bn shareholder return reflects AI boom pressure"	"AI"	""	"https://asia.nikkei.com/business/tech/semiconductors/samsung-s-record-79bn-shareholder-return-reflects-ai-boom-pressure"
