"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Channel NewsAsia"	"China's AI IPO wave fuels retail frenzy as investors anticipate more listings"	"A wave of artificial intelligence listings is attracting renewed investor interest, as Chinese AI firms seek fresh capital to fund growth despite many still operating at a loss."	"AI"	"2026-07-30"	"https://www.channelnewsasia.com/asia/china-ai-wave-retail-investor-frenzy-6280536"
"2"	"Channel NewsAsia"	"Capgemini sees multi-year IT modernisation boom as firms prepare for AI"	"Capgemini sees multi-year IT modernisation boom as firms prepare for AI"	"AI"	"2026-07-30"	"https://www.channelnewsasia.com/business/capgemini-sees-multi-year-it-modernisation-boom-firms-prepare-ai-6287986"
"3"	"Tech in Asia"	"Digitizing the fragmented medical supply chain"	"Hospitalstore connects healthcare buyers with trusted manufacturers, making procurement faster and more cost-effective."	"Logistics"	"2026-07-30"	"https://www.techinasia.com/digitizing-fragmented-medical-supply-chain"
"4"	"DigiTimes"	"South Korean suppliers win HBM4 tester orders from SK Hynix"	"South Korean test-equipment suppliers Digital Frontier and UniTest have secured four orders for HBM4 wafer testers from SK Hynix worth a combined KRW247.84 billion (approx. US$172 million) in 2026, expanding domestic vendors' role in a memory-testing segment where Japan's Advantest has long been an established supplier"	"Semiconductor"	"2026-07-30"	"https://www.digitimes.com/news/a20260730VL224/sk-hynix-hbm-tester-wafer-advantest.html"
"5"	"DigiTimes"	"GlobalFoundries lands US$300M CHIPS backing for AI silicon photonics"	"GlobalFoundries has signed a letter of intent with the US Department of Commerce for a potential US$300 million award to accelerate US development of silicon photonics technologies used in AI and high-performance computing data centres."	"AI, Semiconductor"	"2026-07-30"	"https://www.digitimes.com/news/a20260730VL218/globalfoundries-photonics-silicon-award-optics.html"
"6"	"Channel NewsAsia"	"Panasonic raises profit outlook on AI demand, battery unit profit jumps"	"Panasonic raises profit outlook on AI demand, battery unit profit jumps"	"AI"	"2026-07-30"	"https://www.channelnewsasia.com/business/panasonic-raises-profit-outlook-ai-demand-battery-unit-profit-jumps-6287886"
"7"	"DigiTimes"	"High memory prices could slow China's AI push, analyst says"	"Memory prices are expected to remain elevated through 2026 as AI and data-center demand strains supply, with meaningful supply relief unlikely until well into 2027. A South Korean securities analyst argues that the squeeze could also make it harder for China to expand AI use, although Washington has not identified high"	"AI"	"2026-07-30"	"https://www.digitimes.com/news/a20260730VL225/2026-policy-dram-demand-2025.html"
"8"	"Tech in Asia"	"Temasek-backed Temus invests in Philippine AI startup"	"The Philippines-based AI and data transformation company will help Temus to expand enterprise AI work across Southeast Asia."	"AI"	"2026-07-30"	"https://www.techinasia.com/temasekbacked-temus-launches-ai-foundry-hires-50"
"9"	"Tech in Asia"	"Moonshot AI raises over $3.5b in series F: report"	"The report added that Moonshot AI has also started its planned series G pre-IPO round earlier than expected."	"AI"	"2026-07-30"	"https://www.techinasia.com/chinas-moonshot-ai-seeks-30b-valuation"
"10"	"Nikkei Asia"	"SpaceX's supply chain clampdown and China's product power"	"SpaceX's supply chain clampdown and China's product power"	"Logistics"	""	"https://asia.nikkei.com/techasia/spacex-s-supply-chain-clampdown-and-china-s-product-power"
"11"	"Nikkei Asia"	"Trade deficits for Japan, Philippines widen amid AI boom and Iran war"	"Trade deficits for Japan, Philippines widen amid AI boom and Iran war"	"AI"	""	"https://asia.nikkei.com/economy/trade/trade-deficits-for-japan-philippines-widen-amid-ai-boom-and-iran-war"
"12"	"Nikkei Asia"	"Asia stocks choppy on dip buying as chips slump, Iran tensions escalate"	"Asia stocks choppy on dip buying as chips slump, Iran tensions escalate"	"Semiconductor"	""	"https://asia.nikkei.com/business/markets/asia-stocks-choppy-on-dip-buying-as-chips-slump-iran-tensions-escalate"
