"#"	"Source"	"Title"	"Summary (80 words)"	"Topics"	"Date"	"URL"
"1"	"Tech in Asia"	"Samsung Electro-Mechanics signs $204m AI server deal"	"According to Samsung Electro-Mechanics, a single AI server rack can use up to 600,000 MLCCs, more than 10x the number used in a conventional server rack."	"AI"	"2026-07-23"	"https://www.techinasia.com/samsung-electro-mechanics-eyes-ai-chip-packaging-expansion"
"2"	"Tech in Asia"	"The platform turning AI search into a measurable ROI"	"Inflect helps B2B and consumer brands measure their share of voice across tools like ChatGPT, Perplexity, and Gemini."	"AI"	"2026-07-23"	"https://www.techinasia.com/platform-turning-ai-search-measurable-roi"
"3"	"DigiTimes"	"Samsung weighs Besi's Korean rivals for 50-bonder hybrid bonding line as pricing talks drag on"	"Samsung Electronics is preparing a die-to-wafer hybrid bonding production line with about 50 bonders at its Pyeongtaek campus for next-generation high-bandwidth memory and logic chips, according to The Elec ."	"Electronics, Semiconductor"	"2026-07-23"	"https://www.digitimes.com/news/a20260723VL227/samsung-equipment-production-hbm-hanwha.html"
"4"	"DigiTimes"	"Mitsubishi Electric and Sony Semiconductor Solutions form AI factory automation venture"	"Mitsubishi Electric and Sony Group subsidiary Sony Semiconductor Solutions announced on July 22, 2026, that they have signed a partnership agreement to launch a joint venture focused on using image sensors to automate manufacturing sites and develop physical AI technology. The new company will be 60% funded by Mitsubis"	"Semiconductor, AI, Automation"	"2026-07-23"	"https://www.digitimes.com/news/a20260723PD231/mitsubishi-electric-sony-joint-venture-automation.html"
"5"	"DigiTimes"	"Intel 18A adopts High-NA EUV in dual-certification push"	"Intel Foundry has moved high numerical aperture (High-NA) EUV lithography into production on its Intel 18A process, with ASML confirming in a recent press release that Intel is using the expensive next-generation tool on selected layers of its latest notebook processors, including Panther Lake and the Core Ultra Series"	"Semiconductor"	"2026-07-23"	"https://www.digitimes.com/news/a20260723PD230/intel-foundry-high-na-euv-asml-production.html"
"6"	"Tech in Asia"	"This founder built AI hardware investors ignored"	"Samantha Johnson, founder and CEO of Tatum Robotics, says investors dismissed her market as too small until DeafBlind users proved otherwise."	"AI, Automation"	"2026-07-23"	"https://www.techinasia.com/this-founder-built-ai-hardware-investors-ignored"
"7"	"Channel NewsAsia"	"Besi orders more than double as AI and hybrid bonding tech drive demand"	"Besi orders more than double as AI and hybrid bonding tech drive demand"	"AI"	"2026-07-23"	"https://www.channelnewsasia.com/business/besi-orders-more-double-ai-and-hybrid-bonding-tech-drive-demand-6272716"
"8"	"Channel NewsAsia"	"Dassault Systèmes confirms 2026 outlook, bets on AI with $1.8 billion ArisGlobal deal"	"Dassault Systèmes confirms 2026 outlook, bets on AI with $1.8 billion ArisGlobal deal"	"AI"	"2026-07-23"	"https://www.channelnewsasia.com/business/dassault-systemes-confirms-2026-outlook-bets-ai-18-billion-arisglobal-deal-6272701"
"9"	"Nikkei Asia"	"Global corporate bond sales hit $3.7tn in first half on AI funding race"	"Global corporate bond sales hit $3.7tn in first half on AI funding race"	"AI"	""	"https://asia.nikkei.com/business/markets/bonds/global-corporate-bond-sales-hit-3.7tn-in-first-half-on-ai-funding-race"
"10"	"Nikkei Asia"	"Trump's generic drugs tariff threatens Indian pharma's top market"	"Trump's generic drugs tariff threatens Indian pharma's top market"	"Pharmaceutical"	""	"https://asia.nikkei.com/business/pharmaceuticals/trump-s-generic-drugs-tariff-threatens-indian-pharma-s-top-market"
"11"	"Nikkei Asia"	"Taiwan to push advanced robotics on distinct path from China: tech czar"	"Taiwan to push advanced robotics on distinct path from China: tech czar"	"Automation"	""	"https://asia.nikkei.com/business/technology/taiwan-to-push-advanced-robotics-on-distinct-path-from-china-tech-czar"
